sale_year,barcode,item_name,category,revenue,profit
2022,52463214264324200000,GLOBE LOAD,Prepaid Load,77942.0,6106.05
2024,4801981118502,coke mismo,DRINK,35815.0,5975.45
2022,4800177075209,Camel red stick,CIGARETTES,55640.0,5958.75
2023,4801981127177,Coke Swakto,DRINK,26205.0,5941.0
2024,,Pilit 1KL,RICE,50695.0,5913.7
2024,4801981127177,Coke Swakto,DRINK,25855.0,5865.0
2023,4800049720114,Natures 500ml,DRINK,15160.0,5814.4
2024,4800049720190,Wet water 500ml,DRINK,11595.0,5797.5
2025,,NESCAFE Sticks 2g 1dozen,COFFEE,34692.0,5782.0
2024,,Prycegas 11kg,LPG,56460.0,5730.0
2024,12345,C2 solo apple,DRINK,30780.0,5643.0
2025,4261373,Chesterfield Stick,CIGARETTES,56099.0,5610.8
2025,,Butane Refill,none,30024.0,5560.0
2023,4800361413480,MILO 24g,POWDERED MILK DRINK,35198.0,5524.97
2024,8997035600027,Pocari Sweat 500ml,DRINK,40598.0,5515.2
2023,4219729679,Rock Salt 1kl,SEASONINGS,10540.0,5491.8
2025,4800361061322,Nestle Cream 250ml,MILK,40139.0,5469.75
2023,48044301,marlboro gold,CIGARETTES,108355.0,5458.4
2023,48033848,Camel red,CIGARETTES,163755.0,5351.8
2023,8998666001726,Kopiko cafe blanca TP 58g,COFFEE,21030.0,5327.6
2022,1447140,Perfect Skin All Naturals,TBA,11700.0,5265.0
2024,48033848,Camel red,CIGARETTES,199819.0,5244.6
2022,4261373,Chesterfield Stick,CIGARETTES,25780.0,5244.0
2024,4800049720244,Natures Distilled 10L,DRINK,39270.0,5236.0
2024,3631187010,refined sugar 1k,BAKING ESSENTIALS,40764.0,5235.0
2024,4800016068010, C2 solo apple 230ml,DRINK,5205.0,5205.0
2024,8998666001726,Kopiko cafe blanca TP 58g,COFFEE,22005.0,5196.0
2024,4800361413480,MILO 24g,POWDERED MILK DRINK,36640.0,5129.6
2024,8851028001928,Vitamilk Chamo Double Choco 110ml,DRINK,7776.0,5103.0
2022,4800361061322,Nestle Cream 250ml,MILK,37796.0,5055.58
2024,33012,Cobra Berry Astig (yellow) 300ml,DRINK,30913.0,5038.42
2023,4801981116171,Royal 1.5L,DRINK,37352.0,5028.0
2024,4800088288347,Big Shot Hotdog Classic King 1K,FROZEN FOODS,62107.0,5021.0
2023,4800086047717,Selecta CKUM 1.5L,ICE CREAM,17264.0,5010.23
